Geneid	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3
ENSG00000196581.11	0	0	0	0	0	0	1	0
ENSG00000287586.1	0	0	0	0	0	1	0	0
ENSG00000284739.2	0	0	0	0	0	0	0	0
ENSG00000284674.1	0	0	0	0	0	0	0	0
ENSG00000309102.1	0	0	0	0	0	0	0	0
ENSG00000309111.1	0	0	0	0	0	0	0	0
ENSG00000231510.1	0	0	0	0	0	0	0	0
ENSG00000296716.1	0	0	0	0	0	0	0	0
ENSG00000302269.1	0	0	0	0	0	0	0	0
ENSG00000306645.1	0	0	0	0	0	0	0	0
ENSG00000284616.1	0	0	0	0	0	0	0	0
ENSG00000302445.1	0	0	0	0	0	0	0	1
ENSG00000302452.1	0	0	0	0	0	0	0	0
ENSG00000295735.1	0	0	0	0	0	0	0	0
ENSG00000284692.3	0	0	0	0	0	0	0	0
ENSG00000284666.1	0	0	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0	0	0
ENSG00000299325.1	0	0	0	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	0	0	0
ENSG00000289893.2	0	0	0	2	1	0	0	0
ENSG00000264341.1	0	0	0	0	0	0	0	0
ENSG00000295108.1	0	0	0	1	1	0	0	0
ENSG00000295122.1	0	0	0	0	0	0	0	0
ENSG00000298180.1	0	0	0	0	0	0	0	0
ENSG00000264101.1	2	0	0	0	0	0	0	0
ENSG00000131697.18	785	669	566	1110	682	850	901	439
ENSG00000299539.1	0	0	0	0	0	0	0	0
ENSG00000069424.16	213	201	151	385	224	426	489	266
ENSG00000116254.18	80	82	74	185	113	104	108	45
ENSG00000285629.1	0	0	0	0	0	1	0	0
ENSG00000116251.11	4437	3568	2848	7014	4184	4196	3848	2422
ENSG00000226944.2	6	6	0	6	3	1	6	6
ENSG00000158286.13	159	119	125	144	96	193	189	89
ENSG00000116237.16	8359	6884	5300	13011	7396	6072	5756	3373
ENSG00000225077.4	185	162	129	134	81	104	82	50
ENSG00000173673.9	2	1	0	2	1	0	1	1
ENSG00000158292.7	785	655	541	962	591	818	928	439
ENSG00000097021.21	2606	2164	1733	2812	1671	2127	2055	974
ENSG00000271746.1	10	5	7	11	6	20	15	7
ENSG00000069812.11	17	21	15	22	24	65	48	22
